block	trial	stimulus	signal	correct	respons	rt	re	ssd
2	19	2	0	2	2	747	-1	0
2	20	2	0	2	2	991	-2	0
2	21	2	0	2	2	949	-3	0
2	22	2	0	0	0	0	0	0
2	23	2	0	2	2	605	-3	0
2	24	1	0	2	1	618	-3	0
2	25	1	0	2	1	727	-1	0
2	26	2	1	2	0	0	0	450
2	27	1	0	2	1	944	-1	0
2	28	1	0	2	1	677	-2	0
2	29	1	0	2	1	641	-3	0
2	30	2	0	2	2	821	-4	0
2	31	1	0	2	1	715	-3	0
2	32	2	1	2	0	0	0	500
2	33	2	0	2	2	549	-4	0
2	34	2	1	2	0	0	0	550
2	35	1	0	2	1	1006	-3	0
2	36	1	0	2	1	706	-1	0
2	37	2	1	2	0	0	0	600
2	38	2	0	2	2	1019	-1	0
2	39	1	1	2	0	0	0	650
2	40	1	0	2	1	845	-2	0
2	41	2	1	0	2	587	-3	700
2	42	2	0	2	2	766	-3	0
2	43	2	1	0	2	866	-2	650
2	44	1	1	0	1	727	-2	600
2	45	2	1	0	2	1068	-1	550
2	46	1	1	2	0	0	0	500
2	47	2	0	2	2	957	-3	0
2	48	2	0	2	2	986	-1	0
2	49	2	0	2	2	943	-2	0
2	50	1	0	2	1	948	-2	0
2	51	2	0	2	2	984	-1	0
2	52	2	0	2	2	933	-3	0
2	53	2	0	2	2	695	-4	0
2	54	2	0	2	2	590	-1	0
2	55	1	1	0	1	643	-1	550
2	56	1	1	2	0	0	0	500
2	57	1	0	2	1	941	-2	0
2	58	2	1	0	2	689	-3	550
2	59	1	0	2	1	1165	-3	0
2	60	1	0	0	0	0	0	0
2	61	2	0	2	2	1134	-1	0
2	62	2	0	2	2	900	-1	0
2	63	1	0	2	1	776	-3	0
